area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up Area,6 months,Marathahalli,1 BHK,,680,1.0,1.0,38.07
Carpet Area,Ready To Move,Uttarahalli,3 BHK,,1821,4.0,3.0,81.2
Super built-up Area,1 Year,Mysore Road,3 BHK,,2008,3.0,1.0,81.33
Built-up Area,6 months,BTM Layout,3 BHK,,1790,3.0,2.0,119.54
Carpet Area,Ready To Move,Rajajinagar,2 BHK,,1064,2.0,3.0,67.89
Super built-up Area,6 months,Bannerghatta Road,3 BHK,,1749,4.0,2.0,107.8
Super built-up Area,Ready To Move,Mysore Road,2 BHK,,943,3.0,3.0,33.53
Built-up Area,Ready To Move,Vijayanagar,3 BHK,,1522,3.0,0.0,87.81
Carpet Area,6 months,Marathahalli,2 BHK,,1283,2.0,2.0,78.45
Plot Area,1 Year,Devanahalli,2 BHK,,1230,3.0,2.0,57.54
Carpet Area,6 months,Kengeri,2 BHK,,983,3.0,1.0,36.21
Super built-up Area,1 Year,Malleswaram,2 BHK,,1119,2.0,0.0,83.08
Super built-up Area,6 months,Rajajinagar,3 BHK,,1456,3.0,3.0,101.94
Built-up Area,6 months,Rajajinagar,2 BHK,,1327,3.0,3.0,84.62
Built-up Area,6 months,Sadashivanagar,4 BHK,,1909,5.0,0.0,170.97
Plot Area,Ready To Move,Vijayanagar,2 BHK,,1227,3.0,1.0,66.51
Plot Area,Ready To Move,HSR Layout,2 BHK,,1203,3.0,2.0,80.16
Super built-up Area,1 Year,Bannerghatta Road,3 BHK,,1704,4.0,2.0,81.2
Plot Area,6 months,Sadashivanagar,1 BHK,,519,1.0,1.0,38.24
Plot Area,Ready To Move,Indiranagar,3 BHK,,1652,4.0,3.0,147.27
Plot Area,Ready To Move,Basaveshwara Nagar,3 BHK,,1954,4.0,1.0,131.48
Carpet Area,6 months,Vijayanagar,2 BHK,,1280,3.0,2.0,73.36
Carpet Area,6 months,Koramangala,1 BHK,,634,1.0,0.0,48.01
Super built-up Area,6 months,Sadashivanagar,2 BHK,,1274,2.0,3.0,97.06
Carpet Area,1 Year,Yeshwanthpur,1 BHK,,485,2.0,1.0,27.94
Plot Area,6 months,Hosur Road,2 BHK,,949,2.0,2.0,39.23
Plot Area,Ready To Move,Sarjapur Road,2 BHK,,1330,2.0,3.0,79.1
Plot Area,Ready To Move,Koramangala,2 BHK,,1318,3.0,1.0,118.95
Carpet Area,6 months,Tumkur Road,3 BHK,,1860,3.0,0.0,79.45
